BANC,FAFB,MCNS
720575941409868459,720575940628875902,45530
720575941409903531,720575940620827425,29024
720575941410131311,720575940626017917,17084
720575941410191275,720575940623253994,150781
720575941410223787,720575940625495298,241890
720575941410253995,720575940621017840,83162
720575941410289579,720575940622538461,86876
720575941410351019,720575940619954091,205908
720575941409603243,720575940630446970,46745
720575941651491857,720575940631176310,36154
720575941651546389,720575940654763169,217561
720575941651084565,720575940627577073,513769
720575941651136789,720575940624558012,72213
720575941651144725,720575940604630240,81506
720575941651152405,720575940638968920,32257
720575941410431659,720575940626998769,514044
720575941410567083,720575940606039072,57913
720575941410632468,720575940643403208,921227
720575941410638612,720575940627069256,508381
720575941410652271,720575940623136243,95508
720575941410658475,720575940614884502,516599
720575941651157777,720575940626517129,48216
720575941651215121,720575940619646913,43545
720575941689354904,720575940605411808,23483
720575941689462747,720575940624999114,102929
720575941689476827,720575940632361111,556071
720575941689477528,720575940604487968,106788
720575941689666523,720575940625542172,289180
720575941410768811,720575940638936629,136581
720575941410779156,720575940606165606,133686
720575941410860399,720575940613168534,29171
720575941689705435,720575940613005937,119819
720575941689709019,720575940612429714,28000
720575941650948117,720575940618606983,144792
720575941650962965,720575940643318052,228534
720575941650535957,720575940632240465,105841
720575941650554865,720575940624111763,16917
720575941650567189,720575940613039795,12980
720575941650569457,720575940609762094,116129
720575941650713329,720575940640856205,49050
720575941650788337,720575940644532078,88591
720575941650789649,720575940628539735,45501
720575941650829809,720575940620783180,24187
720575941650844401,720575940611945170,47533
720575941650089237,720575940614526974,23590
720575941410907759,720575940638837363,46292
720575941410915951,720575940623690471,69741
720575941411046767,720575940634040312,58178
720575941411076975,720575940613980335,31514
720575941411079595,720575940619737070,120855
720575941650178289,720575940622486644,15811
720575941650178581,720575940628255621,18895
720575941650261269,720575940621630540,53131
720575941650346517,720575940623047629,25511
720575941649112120,720575940632880173,422510463
720575941411270767,720575940628788552,593936
720575941411290539,720575940623747984,17713
720575941411350187,720575940634790648,11440
720575941411357355,720575940636886639,18673
720575941649649649,720575940624049338,119877
720575941649850133,720575940630112411,48635
720575941649901297,720575940618014528,18366
720575941650002709,720575940626416442,42031
720575941650037269,720575940611550426,30566
720575941689846424,720575940625128067,61360
720575941689898392,720575940620742605,31180
720575941689913240,720575940621334980,52518
720575941689945051,720575940617195125,72469
720575941645720264,720575940628818492,146931
720575941645790408,720575940621309934,52241
720575941411441323,720575940636454136,10672
720575941411472555,720575940648636292,10411
720575941411479979,720575940606649376,531354
720575941645527240,720575940616054843,525552
720575941645559240,720575940638932899,85104
720575941645564872,720575940606953858,20835
720575941645444808,720575940631225996,11872
720575941645451169,720575940620519083,16088
720575941645454753,720575940620139678,111903
720575941645493448,720575940628342171,13737
720575941645506760,720575940638124656,40802
720575941411615915,720575940618923344,34960
720575941411616683,720575940628966912,513717
720575941411620207,720575940618666142,13317
720575941411740817,720575940623400629,533746
720575941645285576,720575940626702159,128531
720575941645306273,720575940630768707,532905
720575941645317793,720575940630464824,72873
720575941645213048,720575940623014695,16245
720575941645216632,720575940619412037,923862580
720575941645222520,720575940614066399,53160
720575941645231480,720575940621613695,47269
720575941645242273,720575940622364598,11335
720575941645242744,720575940629557292,223471
720575941645244360,720575940614511614,33905
720575941645256609,720575940628995884,48123
720575941645268897,720575940622517530,339258
720575941645271240,720575940628267259,32630
720575941411763311,720575940619903215,232340
720575941411771247,720575940631512376,124058
720575941411777647,720575940626571592,165341
720575941411799663,720575940623446604,136518
720575941645054072,720575940613644185,16875
720575941645080225,720575940638197737,85220
720575941645080481,720575940622933765,13826
720575941645117304,720575940637659749,14970
720575941645125240,720575940603352748,559918
720575941645180280,720575940633471584,14191
720575941412137839,720575940610519747,544739
720575941412241519,720575940625894658,24483
720575941412301423,720575940621173025,31914
720575941412383124,720575940611787493,23588
720575941412532881,720575940611674265,18100
720575941644871288,720575940622148490,495695380
720575941644920993,720575940609732654,393018
720575941644944504,720575940636124779,54049
720575941644997496,720575940631806671,156464
720575941645032312,720575940637188836,521457
720575941644694098,720575940638097630,539764
720575941644725960,720575940631448680,46430
720575941644761032,720575940633125540,137747
720575941644788168,720575940636159198,74260
720575941644809633,720575940619410501,48907
720575941644560584,720575940611509485,519569
720575941644634312,720575940628672122,25582
720575941412581487,720575940610202069,76065
720575941412597140,720575940637848179,52314
720575941412597905,720575940628398535,77017
720575941412612719,720575940632727577,531312
720575941412615791,720575940607206066,60253
720575941412616303,720575940634716823,526864
720575941412622191,720575940617446539,34821
720575941412649620,720575940623081909,49732
720575941644654280,720575940626626895,31301
720575941644658632,720575940631839827,11197
720575941644674760,720575940625022757,40309
720575941689958040,720575940620356468,195369
720575941689965208,720575940623509256,261548
720575941689997787,720575940636934007,26944
720575941689998744,720575940627685864,397384
720575941690047963,720575940638458173,36184
720575941412682351,720575940641238400,44343
720575941412734831,720575940631418386,29575
720575941412736879,720575940627764497,40823
720575941412757359,720575940630352658,23870
720575941412778863,720575940624498439,15499
720575941644463736,720575940618201620,74368
720575941644491976,720575940636609647,20936
720575941644502392,720575940623974069,28920
720575941644514642,720575940622556457,130147
720575941644553377,720575940608413451,51681
720575941412845935,720575940629706362,107392
720575941412846959,720575940626408454,23237
720575941413035631,720575940626469519,135135
720575941644359544,720575940604456364,12406
720575941644363858,720575940634224023,46924
720575941644381640,720575940633422490,127290
720575941644447352,720575940649953913,19853
720575941644253266,720575940632033361,27952
720575941644281426,720575940639696755,542878
720575941644319570,720575940629486714,10997
720575941644324690,720575940621170721,15537
720575941413063828,720575940637034330,533230
720575941413167215,720575940608588408,43627
720575941644188792,720575940644588324,139788
720575941644189304,720575940617989417,948367089
720575941644223826,720575940643793431,513635
720575941644236626,720575940631957933,95758
720575941644251986,720575940616599133,76475
720575941644023672,720575940629162870,188343
720575941644024440,720575940630117879,205974
